,state,county,fips,white_pct,black_pct,hispanic_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,rural_pct,trump16_pct,clinton16_pct,otherpres16_pct,romney12_pct,obama12_pct,otherpres12_pct,cvap_pct12,metro,rural,urban_metroadj,urban_not_metroadj
0,Alabama,Autauga,1001,75.6834819887736,18.3709059201802,2.57225381024178,1.83836218641574,51.1762248178895,40.0370578938764,13.978455557775801,53099.0,5.59165726292852,12.4170460154665,75.4072286513465,42.0021623206465,72.76658791494816,23.76967124494454,3.463740840107316,72.61825171318736,26.587832191208424,0.793916095604212,58.815433767510434,1,0,0,0
1,Alabama,Baldwin,1003,83.17878803067521,9.22560272668037,4.36669841110721,3.2695103002355803,51.194927572552785,35.4744123101599,18.714851385895397,51365.0,6.286843229389151,9.97241793263116,70.45288897146041,42.2790991139275,76.5457123352413,19.3856010082445,4.0686866565142035,77.35826946963837,21.589444327263354,1.0522862030982678,56.228503656849185,1,0,0,0
2,Alabama,Barbour,1005,45.88562410761249,47.888329450665104,4.30976177951454,2.8593973096866296,46.4980837153378,37.6643871646502,16.5288945667694,33956.0,12.824738270647499,26.2359275575135,87.1322129765595,67.7896347015333,52.09666634826632,46.527844111185395,1.3754895405482854,48.22312972456338,51.36849422191329,0.4083760535233296,56.485889570552146,0,0,1,0
3,Alabama,Bibb,1007,74.7651958178274,21.212121212121197,2.2239943292574904,1.3512316143895102,46.4646464646465,37.329434697855795,14.8856990962254,39776.0,7.14682672001778,19.3015873015873,88.0,68.3526074623609,76.40322031976416,21.249574781721282,2.347204898514571,72.82660332541569,26.152019002375297,1.0213776722090262,47.86810687890847,1,0,0,0
4,Alabama,Blount,1009,87.6577013725218,1.5579509219464902,8.72729793428532,4.27180091501456,50.4852349923749,37.2400526826563,17.192915569111303,46212.0,5.95383275261324,19.968585326307306,86.95024321037701,89.95150204110121,89.33484445833984,8.425824605283728,2.2393309363764264,86.46588352911772,12.371907023244187,1.1622094476380904,56.57789300023568,1,0,0,0
5,Alabama,Bullock,1011,21.683093252463998,75.5022744503412,0.123199393479909,1.51630022744503,45.801743745261604,37.93593631539039,15.1345716451857,29335.0,13.258520365752304,33.4378835401609,89.744988408564,51.3743815283123,24.203821656050955,74.94692144373674,0.8492569002123143,23.50620067643743,76.30590003757986,0.18789928598271327,64.94203782794386,0,0,1,0
6,Alabama,Butler,1013,52.7810650887574,43.51577909270221,1.24753451676529,1.39546351084813,53.0473372781065,37.056213017751496,18.126232741617397,34315.0,9.80482734726874,18.9404258369776,83.91999426482191,71.2321573495011,56.12688960146586,42.67063673843335,1.2024736601007788,53.569924178601525,46.06149957877001,0.3685762426284752,61.56239870340357,0,0,1,0
7,Alabama,Calhoun,1015,72.99776498709909,20.3317138838311,3.43622446778216,2.393793740238,51.898035087113705,38.783082937100396,15.9307232294642,41954.0,11.681821597655402,17.6631367513762,82.34703347275021,33.6968255574672,68.66329600534849,27.665886678923613,3.6708173157278967,65.45603908597617,33.532222150161054,1.0117387638627666,52.2530358655747,1,0,0,0
8,Alabama,Chambers,1017,56.74348874125461,40.4785701687342,0.435063789758363,0.990652007760597,52.087130342759714,35.872185313657496,18.387324357693,36027.0,7.489945275928,19.7367317850256,87.51572063385599,49.14803448779779,56.42446043165467,41.6115107913669,1.9640287769784173,52.1935528026829,47.02621312709602,0.7802340702210663,55.17749244712991,0,0,1,0
9,Alabama,Cherokee,1019,91.8716453643279,4.60671120206974,1.56388770900104,0.7259528130671509,50.252925049233504,32.7103525504885,20.3228173147469,38925.0,5.85573104276346,18.7172354766235,86.0383010591634,85.7362730385933,83.41563402590144,14.413491102208145,2.1708748718904314,76.75631455159014,21.80182022701708,1.4418652213927805,47.69080712021458,0,0,1,0
10,Alabama,Chilton,1021,80.6102654220964,10.0098135426889,7.62489444736061,5.55720382499943,50.797635620877706,38.8342424173266,15.249788894721195,42594.0,7.9385804564683795,19.9024718345384,85.1454514881453,86.74472423985519,82.1002776416789,15.847351516141323,2.0523708421797595,79.78467529492613,19.45367082808384,0.7616538769900355,55.338298209475525,1,0,0,0
11,Alabama,Choctaw,1023,56.205313464288395,42.2292466320464,0.5569353503424399,0.165575374426131,52.2164521712953,33.4010687137804,20.749604876947398,32622.0,13.6428137036286,21.14733276884,88.0397967823878,100.0,56.30828304991772,42.63576522216128,1.055951727921009,52.10843373493976,47.51506024096386,0.3765060240963856,75.77746077032809,0,1,0,0
12,Alabama,Clarke,1025,53.1774459693323,45.49442588642489,0.173059121825573,0.466857165855033,52.7588843723588,36.60401658147861,18.0625427617016,32735.0,17.0833333333333,18.957819292680107,87.86276583245208,75.980335230132,54.79241807996316,44.11787276494513,1.0897091550917044,53.93112410656271,45.729550212981,0.33932568045628475,72.15941651471738,0,0,0,1
13,Alabama,Clay,1027,80.2640361937254,14.7444930653415,3.10761699918416,1.8912704887636296,51.5538084995921,34.843877475339305,19.4022101906104,38815.0,6.59153005464481,25.386406944738496,88.93711623967822,100.0,79.18176328502416,18.67451690821256,2.143719806763285,72.30561392975082,26.67367157009907,1.020714500150105,64.30501930501929,0,1,0,0
14,Alabama,Cleburne,1029,92.7956774064439,2.3614168501100696,2.328063504769529,1.74771529584417,50.4836235074378,36.1416850110066,18.1642318724568,36316.0,7.1736011477761785,25.815164962377,88.4719274551418,100.0,87.42605794023964,10.374639769452449,2.1993022903079025,83.61617763679621,15.400475812846947,0.9833465503568596,55.82115980522355,0,1,0,0
